pt,efficiency,efficiency_err,purity,purity_err,n_edges,n_edges_err,n_nodes,n_nodes_err
2,0.986,0.005,0.342,0.053,2550,710,1091,163
1.9,0.986,0.005,0.318,0.048,3135,844,1253,184
1.8,0.985,0.004,0.294,0.044,3828,1050,1449,212
1.7,0.986,0.004,0.270,0.039,4943,1319,1679,249
1.6,0.986,0.004,0.245,0.035,6331,1666,1951,286
1.5,0.986,0.004,0.221,0.030,8168,2120,2270,328
1.4,0.986,0.003,0.193,0.025,10917,2646,2656,362
1.3,0.986,0.003,0.169,0.021,14761,3578,3142,426
1.2,0.986,0.003,0.143,0.018,20537,4818,3714,479
1.1,0.986,0.003,0.121,0.015,29129,7013,4429,573
1,0.986,0.002,0.100,0.012,42266,10103,5332,685
0.9,0.986,0.002,0.081,0.010,63211,14787,6496,806
0.8,0.986,0.002,0.061,0.007,103681,24825,8006,976
0.7,0.987,0.002,0.045,0.005,176951,41962,10023,1203
0.6,0.986,0.001,0.035,0.004,292332,68257,12700,1494
0.5,0.986,0.001,0.026,0.003,504489,115034,16246,1865









