pt,purity,purity_err,efficiency,efficiency_err,n_edges,n_edges_err,n_nodes,n_nodes_err
#0.6,0.977,0.002,0.169,0.0192,58570,13553,12638,1602
#0.7,0.979,0.002,0.208,0.023,37700,8802,9978,1307
#0.9,0.982,0.003,0.292,0.030,17443,4099,6471,898
#1.0,0.981,0.003,0.388,0.035,10732,2423,5321,752
#1.1,0.982,0.003,0.432,0.037,8004,1766,4422,628
#1.2,0.983,0.003,0.474,0.038,6113,1339,3711,535
#1.3,0.983,0.004,0.514,0.040,4766,1046,3135,464
#1.4,0.984,0.004,0.551,0.041,3761,813,2659,399
#1.5,0.984,0.004,0.586,0.043,3022,654,2272,347
#1.6,0.984,0.005,0.615,0.044,2475,531,1955,300
#1.7,0.984,0.005,0.643,0.046,2035,435,1682,259
#1.9,0.984,0.006,0.690,0.053,1423,313,1262,201
#2.0,0.984,0.006,0.709,0.058,1208,272,1100,179
2,0.986,0.005,0.342,0.053,2550,710,1091,163
1.9,0.986,0.005,0.318,0.048,3135,844,1253,184
1.8,0.985,0.004,0.294,0.044,3828,1050,1449,212
1.7,0.986,0.004,0.270,0.039,4943,1319,1679,249
1.6,0.986,0.004,0.245,0.035,6331,1666,1951,286
1.5,0.986,0.004,0.221,0.030,8168,2120,2270,328
1.4,0.986,0.003,0.193,0.025,10917,2646,2656,362
1.3,0.986,0.003,0.169,0.021,14761,3578,3142,426
1.2,0.986,0.003,0.143,0.018,20537,4818,3714,479
1.1,0.986,0.003,0.121,0.015,29129,7013,4429,573
1,0.986,0.002,0.100,0.012,42266,10103,5332,685
0.9,0.986,0.002,0.081,0.010,63211,14787,6496,806
0.8,0.986,0.002,0.061,0.007,103681,24825,8006,976
0.7,0.987,0.002,0.045,0.005,176951,41962,10023,1203
0.6,0.986,0.001,0.035,0.004,292332,68257,12700,1494
0.5,0.986,0.001,0.026,0.003,504489,115034,16246,1865









