pt,efficiency,efficiency_err,purity,purity_err,n_edges,n_edges_err,n_nodes,n_nodes_err
#2,0.984,0.006,0.741,0.082,1160,310,1093,180
#1.5,0.984,0.004,0.526,0.125,3628,1517,2256,353
#1,0.981,0.003,0.237,0.087,19962,8841,5294,766
#0.75,0.979,0.003,0.137,0.058,58906,26864,8865,1210
#0.6,0.975,0.003,0.107,0.046,106391,47540,12521,1568
#0.5,0.972,0.002,0.058,0.020,237672,16109,16110,2093
2,0.986,0.005,0.327,0.074,2761,980,1091,163
1.9,0.986,0.005,0.288,0.068,3626,1331,1253,184
1.8,0.986,0.004,0.259,0.066,4749,1941,1449,212
1.7,0.986,0.004,0.227,0.060,6330,2652,1679,250
1.6,0.986,0.004,0.198,0.056,8542,3635,1951,286
1.5,0.986,0.004,0.168,0.050,11684,4903,2270,328
1.4,0.986,0.004,0.134,0.042,17204,6863,2656,362
1.3,0.986,0.003,0.104,0.030,25764,9727,3142,426
1.2,0.986,0.003,0.081,0.022,38873,13517,3714,479
1.1,0.986,0.003,0.062,0.014,59788,19702,4429,573
1,0.987,0.002,0.044,0.007,96487,25934,5332,685
0.9,0.986,0.002,0.034,0.005,152553,39011,6496,806
0.8,0.986,0.002,0.025,0.005,264018,74173,8006,976
0.7,0.986,0.002,0.016,0.003,495013,131870,10109,1203
0.6,0.986,0.001,0.013,0.002,777146,194228,12700,1494
0.5,0.986,0.001,0.010,0.002,1308996,372807,16349,1881
